City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Score,Weather Description
277,Douglas,41.3,-96.167,90.52,43,0,4.61,US,133.51999999999998,Clear Skies and Light
278,Bonthe,7.5264,-12.505,75.2,89,100,6.24,SL,264.2,Warm and Humid
279,Yulara,-25.2406,130.9889,41.61,41,3,9.19,AU,85.61,Clear Skies and Light
280,Merrill,45.1805,-89.6835,82.17,46,48,13.09,US,176.17000000000002,Slightly cloudy and Cool
281,Colares,38.7992,-9.4469,69.48,69,20,32.01,PT,158.48000000000002,Slightly cloudy and Cool
282,Nantucket,41.2835,-70.0995,82.51,57,0,11.5,US,139.51,Clear Skies and Light
283,Saskylakh,71.9167,114.0833,63.09,89,100,14.07,RU,252.09,Warm and Humid
284,Vao,-22.6667,167.4833,68.99,71,16,10.11,NC,155.99,Slightly cloudy and Cool
285,Road Town,18.4167,-64.6167,86.04,70,20,10.36,VG,176.04000000000002,Slightly cloudy and Cool
286,Tateyama,34.9833,139.8667,79.11,91,100,11.34,JP,270.11,Warm and Humid
287,Tarsus,36.9188,34.8784,82.27,72,0,2.91,TR,154.26999999999998,Clear Skies and Light
288,Ponta Delgada,37.7333,-25.6667,74.12,88,20,14.97,PT,182.12,Slightly cloudy and Cool
289,Kavaratti,10.5669,72.642,80.51,80,100,19.91,IN,260.51,Warm and Humid
290,Hobyo,5.3505,48.5268,75.97,80,100,26.84,SO,255.97,Warm and Humid
291,Amapa,1.0,-52.0,82.08,78,35,2.93,BR,195.07999999999998,Slightly cloudy and Cool
292,Perth,-31.9333,115.8333,57.38,67,0,12.66,AU,124.38,Clear Skies and Light
293,Jijiga,9.35,42.8,68.31,52,68,12.93,ET,188.31,Slightly cloudy and Cool
294,Buala,-8.145,159.5921,78.94,80,27,6.49,SB,185.94,Slightly cloudy and Cool
295,Abu Kamal,34.4506,40.9171,94.23,14,0,8.77,SY,108.23,Clear Skies and Light
296,Rovaniemi,66.5,25.7167,56.61,94,100,8.05,FI,250.61,Warm and Humid
297,Broken Hill,-31.95,141.4333,41.52,72,78,2.37,AU,191.52,Slightly cloudy and Cool
298,San Quintin,30.4833,-115.95,73.87,67,68,13.15,MX,208.87,Cool and Cloudy
299,Kinkala,-4.3614,14.7644,72.36,58,100,4.63,CG,230.36,Cool and Cloudy
300,Le Port,-20.9373,55.2919,69.76,67,29,4.99,RE,165.76,Slightly cloudy and Cool
301,Quatre Cocos,-20.2078,57.7625,71.1,78,51,12.01,MU,200.1,Cool and Cloudy
302,Sao Joao Da Barra,-21.6403,-41.0511,75.29,71,0,11.68,BR,146.29000000000002,Clear Skies and Light
303,Odweyne,9.4092,45.064,77.36,39,69,18.61,SO,185.36,Slightly cloudy and Cool
304,Excelsior Springs,39.3392,-94.2261,88.16,58,40,0.0,US,186.16,Slightly cloudy and Cool
305,Tocopilla,-22.092,-70.1979,65.19,69,93,10.83,CL,227.19,Cool and Cloudy
306,Zabol,32.25,67.25,78.58,55,10,15.75,AF,143.57999999999998,Clear Skies and Light
307,Husavik,66.0449,-17.3389,60.03,69,100,15.9,IS,229.03,Cool and Cloudy
308,Rincon,32.296,-81.2354,93.16,46,75,10.36,US,214.16,Cool and Cloudy
309,Svetlogorsk,52.6333,29.7333,59.38,91,97,9.71,BY,247.38,Warm and Humid
310,Cuamba,-14.8031,36.5372,64.6,61,72,5.21,MZ,197.6,Slightly cloudy and Cool
311,Hofn,64.2539,-15.2082,53.37,98,100,26.57,IS,251.37,Warm and Humid
312,Jinchang,38.4953,102.1739,72.9,23,0,7.61,CN,95.9,Clear Skies and Light
313,Siverek,37.755,39.3167,84.88,15,0,2.19,TR,99.88,Clear Skies and Light
314,Axim,4.8699,-2.2405,76.14,85,100,12.95,GH,261.14,Warm and Humid
315,Sorong,-0.8833,131.25,77.25,89,19,4.23,ID,185.25,Slightly cloudy and Cool
316,Sorland,67.667,12.6934,49.86,82,92,18.1,NO,223.86,Cool and Cloudy
317,Arcachon,44.5875,-1.0519,70.12,73,0,6.91,FR,143.12,Clear Skies and Light
318,Laguna,38.421,-121.4238,94.32,39,0,8.05,US,133.32,Clear Skies and Light
319,Neiafu,-18.65,-173.9833,77.68,78,40,8.05,TO,195.68,Slightly cloudy and Cool
320,Delta Del Tigre,-34.7633,-56.3853,59.41,94,100,19.57,UY,253.41,Warm and Humid
321,Kaeo,-35.1,173.7833,57.33,95,28,15.03,NZ,180.32999999999998,Slightly cloudy and Cool
322,Alihe,50.5667,123.7167,66.33,98,100,2.62,CN,264.33,Warm and Humid
323,Boddam,57.4667,-1.7833,57.58,79,76,6.29,GB,212.57999999999998,Cool and Cloudy
324,Jodhpur,26.2867,73.03,80.89,81,100,13.09,IN,261.89,Warm and Humid
325,Flinders,-34.5833,150.8552,54.18,69,0,8.99,AU,123.18,Clear Skies and Light
326,Chepareria,1.3077,35.2039,60.58,85,36,3.11,KE,181.57999999999998,Slightly cloudy and Cool
327,Kalmunai,7.4167,81.8167,78.37,84,96,5.44,LK,258.37,Warm and Humid
328,Palu,-0.8917,119.8707,75.07,96,72,2.48,ID,243.07,Warm and Humid
329,Ancud,-41.8697,-73.8203,53.22,78,19,3.78,CL,150.22,Clear Skies and Light
330,Gorontalo,0.5412,123.0595,74.1,95,86,2.42,ID,255.1,Warm and Humid
331,Tieli,46.95,128.05,69.4,77,99,6.17,CN,245.4,Warm and Humid
332,Linguere,15.3953,-15.1193,87.3,61,100,18.1,SN,248.3,Warm and Humid
333,Chokwe,-24.5333,32.9833,65.3,60,0,6.13,MZ,125.3,Clear Skies and Light
334,Menongue,-14.6585,17.691,56.91,31,28,4.88,AO,115.91,Clear Skies and Light
335,Coihaique,-45.5752,-72.0662,46.35,39,75,9.22,CL,160.35,Slightly cloudy and Cool
336,Victor Harbor,-35.5667,138.6167,49.68,93,86,5.64,AU,228.68,Cool and Cloudy
337,Ilhabela,-23.7781,-45.3581,70.34,81,13,3.85,BR,164.34,Slightly cloudy and Cool
338,Olafsvik,64.8945,-23.7142,51.46,80,92,19.48,IS,223.46,Cool and Cloudy
339,Mackay,-21.15,149.2,45.68,57,0,13.18,AU,102.68,Clear Skies and Light
340,Saurimo,-9.6608,20.3916,65.12,27,78,4.23,AO,170.12,Slightly cloudy and Cool
341,Nawabganj,24.5911,88.271,83.53,75,100,8.32,BD,258.53,Warm and Humid
342,Bundaberg,-24.85,152.35,47.21,78,0,6.85,AU,125.21000000000001,Clear Skies and Light
343,Laela,-8.5667,32.05,61.45,53,91,4.18,TZ,205.45,Cool and Cloudy
344,Santo Domingo,18.5001,-69.9886,85.64,65,75,5.75,DO,225.64,Cool and Cloudy
345,Wattegama,6.7989,81.4808,74.23,91,100,2.75,LK,265.23,Warm and Humid
346,Victoria Falls,-17.9235,25.843,58.57,48,0,2.98,ZW,106.57,Clear Skies and Light
347,Labuhan,-6.8844,112.2051,75.83,87,13,6.02,ID,175.82999999999998,Slightly cloudy and Cool
348,Ponta Do Sol,32.6667,-17.1,73.71,79,0,5.37,PT,152.70999999999998,Clear Skies and Light
349,Malartic,48.1335,-78.1328,78.03,59,91,9.06,CA,228.03,Cool and Cloudy
350,Sechura,-5.5569,-80.8222,76.66,58,15,14.61,PE,149.66,Clear Skies and Light
351,Chernyshevskiy,63.0128,112.4714,65.89,92,7,4.0,RU,164.89,Slightly cloudy and Cool
352,Monteprandone,42.9201,13.8426,76.73,82,100,4.63,IT,258.73,Warm and Humid
353,Fairbanks,64.8378,-147.7164,55.36,77,75,8.05,US,207.36,Cool and Cloudy
354,College,64.8569,-147.8028,55.35,77,75,8.05,US,207.35,Cool and Cloudy
355,Straumen,63.8709,11.2999,51.8,85,97,9.44,NO,233.8,Cool and Cloudy
356,Atar,20.5169,-13.0499,104.7,13,2,8.32,MR,119.7,Clear Skies and Light
357,Ekhabi,53.5102,142.9671,53.2,92,32,7.76,RU,177.2,Slightly cloudy and Cool
358,Plouzane,48.3833,-4.6167,62.65,68,0,5.75,FR,130.65,Clear Skies and Light
359,Skibbereen,51.55,-9.2667,61.11,83,20,8.16,IE,164.11,Slightly cloudy and Cool
360,Vila Praia De Ancora,41.811,-8.8526,66.11,77,53,13.24,PT,196.11,Slightly cloudy and Cool
361,Valparaiso,-33.0393,-71.6273,61.03,73,40,11.5,CL,174.03,Slightly cloudy and Cool
362,Glendive,47.1053,-104.7125,80.22,29,75,17.27,US,184.22,Slightly cloudy and Cool
363,Dunedin,-45.8742,170.5036,43.81,92,100,7.0,NZ,235.81,Warm and Humid
364,Shahr-E Kord,32.3256,50.8644,83.97,24,75,18.41,IR,182.97,Slightly cloudy and Cool
365,Panjab,34.388,67.0233,61.68,36,0,5.32,AF,97.68,Clear Skies and Light
366,Sistranda,63.7256,8.834,51.76,73,100,14.12,NO,224.76,Cool and Cloudy
367,Hay River,60.8156,-115.7999,67.98,64,75,11.5,CA,206.98000000000002,Cool and Cloudy
368,Chapais,49.7834,-74.8492,74.98,47,97,5.59,CA,218.98000000000002,Cool and Cloudy
369,Sand,50.0,10.6,56.46,80,22,3.29,DE,158.46,Slightly cloudy and Cool
370,Mayskiy,47.6931,40.1025,71.01,55,24,3.04,RU,150.01,Clear Skies and Light
371,Igrim,63.1906,64.4162,55.02,64,0,3.71,RU,119.02000000000001,Clear Skies and Light
372,Nadvoitsy,63.8667,34.3167,59.67,96,69,7.2,RU,224.67000000000002,Cool and Cloudy
373,Nome,64.5011,-165.4064,50.16,87,100,0.0,US,237.16,Warm and Humid
374,Great Bend,38.3645,-98.7648,87.93,55,0,8.05,US,142.93,Clear Skies and Light
375,Solton,52.8429,86.4787,55.11,87,85,4.29,RU,227.11,Cool and Cloudy
376,Bridlington,54.0831,-0.1919,63.9,76,100,16.78,GB,239.9,Warm and Humid
377,Zapresic,45.8564,15.8078,73.92,69,100,5.32,HR,242.92000000000002,Warm and Humid
378,Leningradskiy,69.3833,178.4167,37.51,86,96,2.84,RU,219.51,Cool and Cloudy
379,Santa Cruz,-17.8,-63.1667,87.85,45,40,18.41,BO,172.85,Slightly cloudy and Cool
380,San Policarpo,12.1791,125.5072,77.63,91,100,5.53,PH,268.63,Warm and Humid
381,Margate,51.3813,1.3862,64.31,71,100,4.0,GB,235.31,Warm and Humid
382,Port-Gentil,-0.7193,8.7815,75.16,88,40,10.36,GA,203.16,Cool and Cloudy
383,Gizo,-8.103,156.8419,81.23,76,29,13.24,SB,186.23000000000002,Slightly cloudy and Cool
384,Lashio,22.9333,97.75,68.16,99,98,0.94,MM,265.15999999999997,Warm and Humid
385,Te Anau,-45.4167,167.7167,42.03,98,100,2.89,NZ,240.03,Warm and Humid
